id,time,class,lon,lat
ringy,2006-06-14T20:31:46Z,2,-72.655,40.915
ringy,2006-06-15T05:58:14Z,3,-72.656,40.918
ringy,2006-06-15T07:56:32Z,3,-72.657,40.919
ringy,2006-06-15T19:07:49Z,2,-72.474,40.834
ringy,2006-06-16T02:30:18Z,2,-72.275,40.885
ringy,2006-06-16T09:27:22Z,A,-72.059,40.88
ringy,2006-06-17T07:19:38Z,2,-71.538,40.959
ringy,2006-06-18T02:02:44Z,A,-71.096,41.006
ringy,2006-06-21T22:44:36Z,0,-68.745,41.508
ringy,2006-06-22T04:02:29Z,1,-68.568,41.502
ringy,2006-06-23T15:53:47Z,B,-67.141,41.461
ringy,2006-06-24T06:10:04Z,B,-66.697,41.255
ringy,2006-06-25T07:39:47Z,1,-66.072,41.386
ringy,2006-06-26T00:21:25Z,2,-65.296,41.803
ringy,2006-06-26T07:29:16Z,3,-65.044,41.96
ringy,2006-06-27T01:45:41Z,1,-64.499,42.416
ringy,2006-06-28T07:12:16Z,B,-63.388,43.332
ringy,2006-06-29T11:30:16Z,B,-63.998,43.798
ringy,2006-06-30T01:10:11Z,A,-63.623,44.142
ringy,2006-07-01T10:47:42Z,B,-62.518,44.713
ringy,2006-07-02T09:39:17Z,B,-61.662,44.99
ringy,2006-07-03T09:28:57Z,B,-60.659,45.399
ringy,2006-07-04T02:45:06Z,B,-60.232,45.665
ringy,2006-07-05T05:52:47Z,A,-59.503,46.179
ringy,2006-07-06T10:27:32Z,B,-60.706,47.075
ringy,2006-07-07T11:39:12Z,B,-59.632,47.416
ringy,2006-07-07T19:45:05Z,B,-59.469,48.068
ringy,2006-07-09T09:52:25Z,B,-59.24,48.728
ringy,2006-07-10T10:26:29Z,B,-57.663,48.785
ringy,2006-07-11T07:52:30Z,B,-58.862,51.019
ringy,2006-07-12T07:58:58Z,Z,NA,NA
ringy,2006-07-12T17:51:43Z,2,-59.378,50.59
ringy,2006-07-14T08:51:24Z,B,-59.064,50.99
ringy,2006-07-15T10:10:08Z,A,-57.934,51.15
ringy,2006-07-16T01:29:46Z,B,-60.614,50.738
ringy,2006-07-17T17:04:14Z,Z,NA,NA
ringy,2006-07-19T08:27:25Z,B,-55.112,52.381
ringy,2006-07-21T04:48:00Z,Z,NA,NA
ringy,2006-07-21T22:32:55Z,B,-55.601,53.704
ringy,2006-07-23T11:40:00Z,A,-56.603,54.486
ringy,2006-07-23T17:04:22Z,0,-56.817,54.562
ringy,2006-07-25T09:05:04Z,Z,NA,NA
ringy,2006-07-25T15:16:04Z,A,-57.555,55.277
ringy,2006-07-27T02:04:20Z,Z,NA,NA
ringy,2006-07-28T00:16:45Z,1,-59.387,56.804
ringy,2006-07-29T11:16:00Z,1,-60.268,57.654
ringy,2006-07-30T10:50:02Z,A,-61.219,58.259
ringy,2006-07-31T01:15:53Z,A,-61.449,58.673
ringy,2006-08-01T09:38:25Z,B,-61.677,59.526
ringy,2006-08-02T00:48:21Z,A,-61.239,59.894
ringy,2006-08-03T10:04:59Z,B,-61.667,60.411
ringy,2006-08-04T11:42:45Z,B,-62.019,61.079
ringy,2006-08-05T00:35:00Z,1,-62.396,61.347
ringy,2006-08-05T09:41:53Z,3,-62.724,61.551
ringy,2006-08-06T08:43:35Z,1,-63.531,62.09
ringy,2006-08-06T20:46:21Z,A,-63.79,62.426
ringy,2006-08-07T09:20:26Z,B,-63.923,62.843
ringy,2006-08-08T01:06:54Z,0,-63.457,63.274
ringy,2006-08-09T00:57:37Z,0,-63.683,63.807
ringy,2006-08-10T10:21:18Z,1,-64.074,64.697
ringy,2006-08-11T08:30:07Z,A,-63.9,65.01
ringy,2006-08-12T11:45:43Z,1,-62.671,65.155
ringy,2006-08-13T09:12:06Z,1,-61.777,65.614
ringy,2006-08-14T09:01:59Z,0,-61.35,66.254
ringy,2006-08-16T11:45:39Z,0,-61.545,67.491
ringy,2006-08-17T01:02:06Z,0,-61.736,67.902
ringy,2006-08-18T09:55:08Z,2,-63.441,68.694
ringy,2006-08-19T06:53:33Z,A,-64.619,69.006
ringy,2006-08-20T01:32:30Z,A,-65.977,69.196
ringy,2006-08-21T04:31:29Z,3,-67.217,69.714
ringy,2006-08-22T11:21:19Z,2,-67.563,70.356
ringy,2006-08-23T09:39:08Z,1,-69.05,70.783
ringy,2006-08-24T10:55:37Z,A,-70.629,71.239
ringy,2006-08-25T02:35:14Z,3,-71.598,71.564
ringy,2006-08-26T11:48:34Z,1,-73.864,71.98
ringy,2006-08-27T03:53:33Z,3,-75.056,72.388
ringy,2006-08-28T20:31:39Z,1,-77.564,72.802
ringy,2006-08-29T10:01:32Z,1,-78.54,72.755
ringy,2006-08-30T11:29:40Z,1,-80.349,72.282
ringy,2006-08-31T22:37:35Z,3,-80.612,72.941
ringy,2006-09-01T00:17:48Z,2,-80.579,72.981
ringy,2006-09-02T10:40:34Z,A,-81.468,73.735
ringy,2006-09-03T10:14:29Z,1,-82.758,73.852
ringy,2006-09-04T00:51:17Z,2,-83.599,73.912
ringy,2006-09-05T11:50:14Z,0,-86.686,73.903
ringy,2006-09-06T08:27:31Z,A,-88.454,73.856
ringy,2006-09-07T09:58:24Z,A,-90.173,73.622
ringy,2006-09-08T04:16:03Z,A,-91.347,73.157
ringy,2006-09-09T11:54:27Z,3,-93.787,72.771
ringy,2006-09-10T10:48:33Z,A,-94.114,72.763
ringy,2006-09-11T23:25:01Z,3,-93.462,72.797
ringy,2006-09-12T06:10:14Z,1,-93.208,72.758
ringy,2006-09-13T00:41:08Z,3,-92.573,72.74
ringy,2006-09-14T16:58:19Z,2,-90.516,73.417
ringy,2006-09-15T15:15:15Z,3,-90.319,73.882
ringy,2006-09-16T02:55:13Z,1,-89.885,73.829
ringy,2006-09-17T04:07:53Z,A,-89.676,74.135
ringy,2006-09-18T09:44:36Z,2,-91.604,74.617
ringy,2006-09-19T03:23:47Z,2,-93.5,74.681
ringy,2006-09-20T04:18:17Z,1,-94.988,74.562
